game_id,quarter,team_slot,team_name,action_type,sub_type,success,scoring,player,pno,clock,s1,s2,lead,fga,fgm,two_pa,two_pm,three_pa,three_pm,fta,ftm
2798717,4,1,Edmonton Stingers,3pt,jumpshot,0,1,A. Toney,11,04:33:00,64,63,1,1,0,0,0,1,0,0,0
2798717,4,1,Edmonton Stingers,rebound,defensive,1,0,T. King,10,04:36:00,64,63,1,0,0,0,0,0,0,0,0
2798717,4,2,Winnipeg Sea Bears,2pt,drivinglayup,0,1,D. Walker,5,04:39:00,64,63,1,1,0,1,0,0,0,0,0
2798717,4,2,Winnipeg Sea Bears,steal,,1,0,D. Walker,5,04:43:00,64,63,1,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,turnover,ballhandling,1,0,E. Bandoumel,6,04:43:00,64,63,1,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,rebound,defensive,1,0,D. Dainja,14,04:50:00,64,63,1,0,0,0,0,0,0,0,0
2798717,4,2,Winnipeg Sea Bears,3pt,stepbackjumpshot,0,1,E. Akot,6,04:52:00,64,63,1,1,0,0,0,1,0,0,0
2798717,4,1,Edmonton Stingers,substitution,in,1,0,A. Toney,11,05:08:00,64,63,1,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,substitution,in,1,0,T. King,10,05:08:00,64,63,1,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,substitution,out,1,0,S. Teel,12,05:08:00,64,63,1,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,substitution,out,1,0,A. Rhooms,3,05:08:00,64,63,1,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,assist,,1,0,A. Rhooms,3,05:19:00,64,63,1,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,2pt,drivinglayup,1,1,D. Dainja,14,05:19:00,64,63,1,1,1,1,1,0,0,0,0
2798717,4,2,Winnipeg Sea Bears,assist,,1,0,T. Allen,3,05:32:00,62,63,-1,0,0,0,0,0,0,0,0
2798717,4,2,Winnipeg Sea Bears,2pt,jumpshot,1,1,J. Tilmon Jr.,2,05:32:00,62,63,-1,1,1,1,1,0,0,0,0
2798717,4,1,Edmonton Stingers,assist,,1,0,T. Donald,7,05:56:00,62,61,1,0,0,0,0,0,0,0,0
2798717,4,1,Edmonton Stingers,3pt,jumpshot,1,1,E. Bandoumel,6,05:56:00,62,61,1,1,1,0,0,1,1,0,0
2798717,4,1,Edmonton Stingers,rebound,defensive,1,0,A. Rhooms,3,05:58:00,59,61,-2,0,0,0,0,0,0,0,0
2798717,4,2,Winnipeg Sea Bears,2pt,layup,0,1,T. Allen,3,06:00:00,59,61,-2,1,0,1,0,0,0,0,0
