game_id,team_slot,team_name,team_short_name,team_code,opponent_name,r,x,y,p,pno,tno,per,perType,actionType,actionNumber,previousAction,subType,player,shirtNumber
2798717,2,Winnipeg Sea Bears,Winnipeg,WPG,Edmonton Stingers,0,6.75,46.669998168945,3,3,2,1,REGULAR,2pt,45,,layup,T. Allen,8
2798717,2,Winnipeg Sea Bears,Winnipeg,WPG,Edmonton Stingers,1,6.2800002098083,51.169998168945,2,2,2,1,REGULAR,2pt,47,,dunk,J. Tilmon Jr.,35
2798717,2,Winnipeg Sea Bears,Winnipeg,WPG,Edmonton Stingers,0,29.64999961853,25.819999694824,14,14,2,1,REGULAR,3pt,74,,jumpshot,K. Cross,24
2798717,2,Winnipeg Sea Bears,Winnipeg,WPG,Edmonton Stingers,1,9.8699998855591,48.919998168945,14,14,2,1,REGULAR,2pt,82,,layup,K. Cross,24
2798717,2,Winnipeg Sea Bears,Winnipeg,WPG,Edmonton Stingers,1,12.819999694824,44.409999847412,9,9,2,1,REGULAR,2pt,133,,turnaroundjumpshot,D. Warren,3
2798717,2,Winnipeg Sea Bears,Winnipeg,WPG,Edmonton Stingers,1,15.159999847412,41.599998474121,5,5,2,1,REGULAR,2pt,142,,jumpshot,D. Walker,1
2798717,2,Winnipeg Sea Bears,Winnipeg,WPG,Edmonton Stingers,0,32.139999389648,65.819999694824,6,6,2,1,REGULAR,3pt,155,,jumpshot,E. Akot,7
2798717,2,Winnipeg Sea Bears,Winnipeg,WPG,Edmonton Stingers,0,29.64999961853,30.889999389648,13,13,2,1,REGULAR,3pt,159,,jumpshot,A. Chaney,11
2798717,2,Winnipeg Sea Bears,Winnipeg,WPG,Edmonton Stingers,0,8.1499996185303,42.159999847412,2,2,2,1,REGULAR,2pt,161,,layup,J. Tilmon Jr.,35
2798717,2,Winnipeg Sea Bears,Winnipeg,WPG,Edmonton Stingers,0,6.75,54.840000152588,13,13,2,1,REGULAR,2pt,184,,layup,A. Chaney,11
2798717,2,Winnipeg Sea Bears,Winnipeg,WPG,Edmonton Stingers,1,10.960000038147,2.1600000858307,11,11,2,1,REGULAR,3pt,200,,jumpshot,M. Kraus,5
2798717,2,Winnipeg Sea Bears,Winnipeg,WPG,Edmonton Stingers,0,86.190002441406,69.769996643066,11,11,2,1,REGULAR,3pt,206,,jumpshot,M. Kraus,5
2798717,2,Winnipeg Sea Bears,Winnipeg,WPG,Edmonton Stingers,0,24.040000915527,17.930000305176,9,9,2,2,REGULAR,3pt,224,,jumpshot,D. Warren,3
2798717,2,Winnipeg Sea Bears,Winnipeg,WPG,Edmonton Stingers,0,9.5500001907349,63.290000915527,3,3,2,2,REGULAR,2pt,230,,turnaroundjumpshot,T. Allen,8
2798717,2,Winnipeg Sea Bears,Winnipeg,WPG,Edmonton Stingers,1,6.1300001144409,59.060001373291,3,3,2,2,REGULAR,2pt,246,,reverselayup,T. Allen,8
2798717,2,Winnipeg Sea Bears,Winnipeg,WPG,Edmonton Stingers,0,23.879999160767,12.579999923706,3,3,2,2,REGULAR,3pt,253,,jumpshot,T. Allen,8
2798717,2,Winnipeg Sea Bears,Winnipeg,WPG,Edmonton Stingers,1,5.9699997901917,46.669998168945,9,9,2,2,REGULAR,2pt,256,,drivinglayup,D. Warren,3
2798717,2,Winnipeg Sea Bears,Winnipeg,WPG,Edmonton Stingers,1,22.479999542236,88.639999389648,11,11,2,2,REGULAR,3pt,259,,jumpshot,M. Kraus,5
