game_id,game_date,game_number,team_name,opponent_name,actual_opponent_team,opponent_payroll_faced,opponent_active_players,opponent_players_with_salary,opponent_players_missing_salary,opponent_payroll_complete,league_average_payroll,difference_vs_average,pct_of_league_average
2798824,2026-07-26T22:00:00Z,22,Edmonton Stingers,Calgary Surge,Calgary Surge,11846.43,11,11,0,True,11772.152916666668,74.27708333333248,1.0063095581461716
2798829,2026-08-01T01:00:00Z,23,Edmonton Stingers,Saskatoon Mamba,Saskatoon Mamba,12534.33,10,10,0,True,11772.152916666668,762.1770833333321,1.0647440692223988
2798833,2026-08-02T22:00:00Z,24,Edmonton Stingers,Ottawa BlackJacks,Ottawa BlackJacks,13512.5,10,10,0,True,11772.152916666668,1740.3470833333322,1.147835922252539
2798722,2026-05-15T23:30:00Z,1,Montréal Alliance,Scarborough Shooting Stars,Scarborough Shooting Stars,12600.0,9,8,1,False,11772.152916666668,827.8470833333322,1.0703224880948743
2798716,2026-05-19T23:30:00Z,2,Montréal Alliance,Saskatoon Mamba,Saskatoon Mamba,10301.0,10,10,0,True,11772.152916666668,-1471.1529166666678,0.8750311071321667
2798726,2026-05-23T23:00:00Z,3,Montréal Alliance,Ottawa BlackJacks,Ottawa BlackJacks,11750.0,9,9,0,True,11772.152916666668,-22.152916666667807,0.9981181932630773
2798735,2026-05-26T23:30:00Z,4,Montréal Alliance,Niagara River Lions,Niagara River Lions,9868.75,10,9,1,False,11772.152916666668,-1903.4029166666678,0.8383130995544675
2798736,2026-05-28T15:00:00Z,5,Montréal Alliance,Brampton Honey Badgers,Brampton Honey Badgers,10800.0,10,10,0,True,11772.152916666668,-972.1529166666678,0.9174192755098923
2798747,2026-05-31T20:00:00Z,6,Montréal Alliance,Ottawa BlackJacks,Ottawa BlackJacks,10700.0,10,10,0,True,11772.152916666668,-1072.1529166666678,0.9089246525885044
2798743,2026-06-05T23:30:00Z,7,Montréal Alliance,Winnipeg Sea Bears,Winnipeg Sea Bears,9737.08,9,9,0,True,11772.152916666668,-2035.0729166666679,0.8271282295538761
2798749,2026-06-07T20:00:00Z,8,Montréal Alliance,Edmonton Stingers,Edmonton Stingers,12616.67,12,12,0,True,11772.152916666668,844.5170833333323,1.0717385417358698
2798753,2026-06-10T23:30:00Z,9,Montréal Alliance,Brampton Honey Badgers,Brampton Honey Badgers,10415.380000000001,8,8,0,True,11772.152916666668,-1356.7729166666668,0.8847472568296503
2798758,2026-06-13T23:00:00Z,10,Montréal Alliance,Niagara River Lions,Niagara River Lions,14568.75,10,10,0,True,11772.152916666668,2796.597083333332,1.2375603768596986
2798772,2026-06-18T01:00:00Z,11,Montréal Alliance,Edmonton Stingers,Edmonton Stingers,12516.67,11,11,0,True,11772.152916666668,744.5170833333323,1.0632439188144818
2798766,2026-06-20T23:00:00Z,12,Montréal Alliance,Calgary Surge,Calgary Surge,12233.74,9,9,0,True,11772.152916666668,461.587083333332,1.039210082182999
2798776,2026-06-26T23:30:00Z,13,Montréal Alliance,Niagara River Lions,Niagara River Lions,14568.75,10,10,0,True,11772.152916666668,2796.597083333332,1.2375603768596986
2798782,2026-07-01T20:00:00Z,14,Montréal Alliance,Scarborough Shooting Stars,Scarborough Shooting Stars,9730.0,9,9,0,True,11772.152916666668,-2042.1529166666678,0.8265268102510419
2798785,2026-07-03T23:30:00Z,15,Montréal Alliance,Scarborough Shooting Stars,Scarborough Shooting Stars,11980.0,9,9,0,True,11772.152916666668,207.8470833333322,1.0176558259822694
2798801,2026-07-08T23:30:00Z,16,Montréal Alliance,Ottawa BlackJacks,Ottawa BlackJacks,11062.5,9,9,0,True,11772.152916666668,-709.6529166666678,0.9397176606785356
2798788,2026-07-10T23:30:00Z,17,Montréal Alliance,Brampton Honey Badgers,Brampton Honey Badgers,9066.67,9,9,0,True,11772.152916666668,-2705.4829166666677,0.7701794280265996
2798792,2026-07-12T19:00:00Z,18,Montréal Alliance,Niagara River Lions,Niagara River Lions,14850.0,11,10,1,False,11772.152916666668,3077.847083333332,1.2614515038261018
2798807,2026-07-18T02:00:00Z,19,Montréal Alliance,Vancouver Bandits,Vancouver Bandits,14597.5,10,10,0,True,11772.152916666668,2825.347083333332,1.2400025809495976
2798809,2026-07-19T22:00:00Z,20,Montréal Alliance,Winnipeg Sea Bears,Winnipeg Sea Bears,14208.33,10,10,0,True,11772.152916666668,2436.177083333332,1.2069440569264323
2798818,2026-07-24T23:30:00Z,21,Montréal Alliance,Ottawa BlackJacks,Ottawa BlackJacks,13512.5,10,10,0,True,11772.152916666668,1740.3470833333322,1.147835922252539
2798823,2026-07-26T20:00:00Z,22,Montréal Alliance,Scarborough Shooting Stars,Scarborough Shooting Stars,16242.86,10,10,0,True,11772.152916666668,4470.707083333333,1.3797697086489453
2798825,2026-07-28T23:30:00Z,23,Montréal Alliance,Vancouver Bandits,Vancouver Bandits,13610.0,9,9,0,True,11772.152916666668,1837.8470833333322,1.1561181796008921
2798827,2026-07-30T23:30:00Z,24,Montréal Alliance,Brampton Honey Badgers,Brampton Honey Badgers,11341.67,9,9,0,True,11772.152916666668,-430.48291666666773,0.9634320994881741
2798732,2026-05-18T23:00:00Z,1,Niagara River Lions,Ottawa BlackJacks,Ottawa BlackJacks,13650.0,11,11,0,True,11772.152916666668,1877.8470833333322,1.1595160287694473
2798723,2026-05-23T00:00:00Z,2,Niagara River Lions,Winnipeg Sea Bears,Winnipeg Sea Bears,12003.08,11,11,0,True,11772.152916666668,230.92708333333212,1.0196163849525257
2798729,2026-05-24T22:00:00Z,3,Niagara River Lions,Edmonton Stingers,Edmonton Stingers,12150.0,11,11,0,True,11772.152916666668,377.8470833333322,1.0320966849486288
2798735,2026-05-26T23:30:00Z,4,Niagara River Lions,Montreal Alliance,Montréal Alliance,11100.0,9,9,0,True,11772.152916666668,-672.1529166666678,0.942903144274056
2798740,2026-05-29T23:00:00Z,5,Niagara River Lions,Vancouver Bandits,Vancouver Bandits,13876.0,9,9,0,True,11772.152916666668,2103.847083333332,1.178713876571784
2798754,2026-06-03T23:00:00Z,6,Niagara River Lions,Calgary Surge,Calgary Surge,9562.31,8,7,1,False,11772.152916666668,-2209.8429166666683,0.8122821770741665
2798741,2026-06-05T23:00:00Z,7,Niagara River Lions,Brampton Honey Badgers,Brampton Honey Badgers,9100.0,10,9,1,False,11772.152916666668,-2672.152916666668,0.7730106858462982
2798751,2026-06-10T23:00:00Z,8,Niagara River Lions,Scarborough Shooting Stars,Scarborough Shooting Stars,13900.0,9,9,0,True,11772.152916666668,2127.847083333332,1.1807525860729169
2798758,2026-06-13T23:00:00Z,9,Niagara River Lions,Montreal Alliance,Montréal Alliance,12100.0,11,11,0,True,11772.152916666668,327.8470833333322,1.0278493734879348
2798765,2026-06-15T23:30:00Z,10,Niagara River Lions,Brampton Honey Badgers,Brampton Honey Badgers,10665.380000000001,9,9,0,True,11772.152916666668,-1106.7729166666668,0.90598381413312
2798759,2026-06-19T15:00:00Z,11,Niagara River Lions,Saskatoon Mamba,Saskatoon Mamba,11301.0,9,9,0,True,11772.152916666668,-471.1529166666678,0.9599773363460457
2798769,2026-06-21T20:00:00Z,12,Niagara River Lions,Scarborough Shooting Stars,Scarborough Shooting Stars,15250.0,10,10,0,True,11772.152916666668,3477.847083333332,1.2954299955116535
2798776,2026-06-26T23:30:00Z,13,Niagara River Lions,Montreal Alliance,Montréal Alliance,11850.0,11,11,0,True,11772.152916666668,77.8470833333322,1.0066128161844652
